,architecture,batch_size,convolution_kernel_size,data_total_rows_test,data_total_rows_train,data_total_rows_valid,dropout,fit_best_round,fit_dt_test_duration_seconds,fit_dt_test_end,fit_dt_test_start,fit_dt_train_duration_seconds,fit_dt_train_end,fit_dt_train_start,fit_num_epochs,fit_stopped_epoch1,fit_stopped_epoch2,fit_stopped_epoch3,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,frame_size,layer_1_size,layer_2_size,layer_3_size,model_id,model_param_count,model_weights_path,num_features,path_model,pooling,pretrained_model_name,sequence_length,sequence_model,sequence_model_layers,verbose
884,video_lrcnn_frozen,32,3,3105,59849,6348,0.2,1.0,4,2019-01-25 15:23:26,2019-01-25 15:23:22,2253,2019-01-25 15:23:21,2019-01-25 14:45:47,9,1,1,4,0.7317230273752013,0.9557648792101763,0.11323895751927024,0.9553290283672451,0.13038030260189118,"[224, 224]",256,128,256,5303,1395079,,512.0,/mnt/seals/models/5303/,max,vgg16,35.0,SimpleRNN,2.0,True
3112,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,28,2019-01-23 02:47:19,2019-01-23 02:46:50,2599,2019-01-23 02:46:29,2019-01-23 02:03:09,20,8,3,6,0.7159744408945687,0.9649994326169926,0.08547548000296488,0.9552538905079643,0.1400902000974681,"[224, 224]",256,128,256,4555,575879,,512.0,/mnt/seals/models/4555/,max,vgg16,10.0,SimpleRNN,2.0,True
3299,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,2,2019-01-25 07:50:37,2019-01-25 07:50:34,2204,2019-01-25 07:50:34,2019-01-25 07:13:49,21,3,4,11,0.7452799999999999,0.9701864705747516,0.07379030810206168,0.9552285684670369,0.14118023909996955,"[224, 224]",256,128,256,5262,739719,,512.0,/mnt/seals/models/5262/,max,vgg16,15.0,SimpleRNN,2.0,True
2924,video_lrcnn_frozen,32,3,3105,59849,6348,0.2,2.0,5,2019-01-25 16:51:55,2019-01-25 16:51:50,3154,2019-01-25 16:51:48,2019-01-25 15:59:14,13,4,3,3,0.7642512077294686,0.9677307065358769,0.08336530982812883,0.9551039865802652,0.12569642626746746,"[224, 224]",256,512,256,5304,5180167,,512.0,/mnt/seals/models/5304/,max,vgg16,35.0,SimpleRNN,2.0,True
1073,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,5,2019-01-25 11:14:54,2019-01-25 11:14:49,3767,2019-01-25 11:14:46,2019-01-25 10:11:59,12,1,1,7,0.7554487179487179,0.9760001814851305,0.06075863301410805,0.9549119908183897,0.14269262580531036,"[224, 224]",256,128,512,5289,2053255,,512.0,/mnt/seals/models/5289/,max,vgg16,20.0,GRU,2.0,True
2882,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,13,2019-01-24 04:40:24,2019-01-24 04:40:11,2970,2019-01-24 04:40:00,2019-01-24 03:50:30,16,9,1,3,0.7159744408945687,0.9716149620377138,0.07104203361886434,0.9548743080071785,0.14897228598305864,"[224, 224]",256,512,128,4501,2428167,,512.0,/mnt/seals/models/4501/,max,vgg16,10.0,GRU,2.0,True
2862,video_lrcnn_frozen,32,3,3095,59629,6328,0.2,3.0,6,2019-01-25 18:32:35,2019-01-25 18:32:29,5194,2019-01-25 18:32:28,2019-01-25 17:05:53,19,6,1,9,0.7634894991922456,0.9694755545100936,0.08024396494703928,0.9548492115155786,0.15689555775049213,"[224, 224]",256,512,256,5310,6490887,,512.0,/mnt/seals/models/5310/,max,vgg16,45.0,SimpleRNN,2.0,True
3309,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,23,2019-01-22 20:03:14,2019-01-22 20:02:51,2018,2019-01-22 20:02:34,2019-01-22 19:28:56,13,4,2,4,0.7431309904153355,0.9618749745379742,0.09554658468677198,0.9548296499490813,0.1427878763418378,"[224, 224]",256,512,256,4491,1903367,,512.0,/mnt/seals/models/4491/,max,vgg16,10.0,SimpleRNN,2.0,True
281,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,31,2019-01-23 02:54:16,2019-01-23 02:53:45,2232,2019-01-23 02:53:25,2019-01-23 02:16:12,15,6,3,3,0.7332268370607029,0.9669507426936021,0.08089258990708534,0.9547180087166155,0.14993715707810085,"[224, 224]",256,128,512,4547,905607,,512.0,/mnt/seals/models/4547/,max,vgg16,10.0,SimpleRNN,2.0,True
305,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,1.0,16,2019-01-24 08:16:05,2019-01-24 08:15:48,3145,2019-01-24 08:15:34,2019-01-24 07:23:09,17,5,2,7,0.7178913738019169,0.9608035259435196,0.09694868890374421,0.9547180078967954,0.12345362380356593,"[224, 224]",128,256,512,4645,1856647,,512.0,/mnt/seals/models/4645/,max,vgg16,10.0,GRU,2.0,True
2383,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,2.0,3,2019-01-25 13:20:58,2019-01-25 13:20:54,3830,2019-01-25 13:20:53,2019-01-25 12:17:03,15,4,6,2,0.69472,0.9769207003200089,0.060293746775045044,0.954624758784892,0.13299152082439952,"[224, 224]",512,128,128,5271,4426631,,2048.0,/mnt/seals/models/5271/,max,resnet50,15.0,GRU,2.0,True
3294,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,26,2019-01-22 22:31:36,2019-01-22 22:31:09,2598,2019-01-22 22:30:53,2019-01-22 21:47:34,16,7,4,2,0.7316293929712461,0.9637908038126853,0.08972460561187838,0.954584032809522,0.16842085612159327,"[224, 224]",512,512,512,4355,3675143,,512.0,/mnt/seals/models/4355/,max,vgg16,10.0,SimpleRNN,2.0,True
1094,video_lrcnn_frozen,32,3,3110,59959,6358,0.2,2.0,3,2019-01-25 15:23:14,2019-01-25 15:23:10,2243,2019-01-25 15:23:10,2019-01-25 14:45:46,11,5,2,1,0.727331189710611,0.9725074156661268,0.07029474192008194,0.9544780661415552,0.13832784773850448,"[224, 224]",256,128,256,5300,1231239,,512.0,/mnt/seals/models/5300/,max,vgg16,30.0,SimpleRNN,2.0,True
3375,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,12,2019-01-24 04:15:48,2019-01-24 04:15:36,3505,2019-01-24 04:15:25,2019-01-24 03:16:59,20,8,6,3,0.7198083067092651,0.97165044061723,0.07148665394427696,0.9544500688829807,0.13967707861714454,"[224, 224]",512,128,512,4421,2480007,,512.0,/mnt/seals/models/4421/,max,vgg16,10.0,GRU,2.0,True
3168,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,14,2019-01-24 06:08:33,2019-01-24 06:08:18,2739,2019-01-24 06:08:06,2019-01-24 05:22:27,14,7,3,1,0.7143769968051118,0.9703117242350728,0.07362129496668827,0.9544277419966435,0.1512773450686433,"[224, 224]",256,128,512,4549,1397895,,512.0,/mnt/seals/models/4549/,max,vgg16,10.0,GRU,2.0,True
22,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,17,2019-01-24 11:12:10,2019-01-24 11:11:52,4573,2019-01-24 11:11:37,2019-01-24 09:55:24,23,4,7,9,0.7472843450479234,0.9769982121914799,0.0573788693272757,0.9544277408041779,0.13864973455052632,"[224, 224]",128,512,512,4609,4266503,,512.0,/mnt/seals/models/4609/,max,vgg16,10.0,LSTM,2.0,True
2145,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,1.0,2,2019-01-24 23:44:28,2019-01-24 23:44:25,2667,2019-01-24 23:44:24,2019-01-24 22:59:57,14,4,4,3,0.7073482428115017,0.9607846068752512,0.09860088607689946,0.9543384251724224,0.12595314640585575,"[224, 224]",512,128,128,4949,4344711,,2048.0,/mnt/seals/models/4949/,max,resnet50,10.0,GRU,2.0,True
2098,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,16,2019-01-24 08:23:52,2019-01-24 08:23:36,3430,2019-01-24 08:23:22,2019-01-24 07:26:12,15,1,3,8,0.7271565495207668,0.9732067580590112,0.06577374715504875,0.9542937668162087,0.13561556177116552,"[224, 224]",256,256,128,4529,1641479,,512.0,/mnt/seals/models/4529/,max,vgg16,10.0,LSTM,2.0,True
457,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,18,2019-01-24 11:52:30,2019-01-24 11:52:12,4078,2019-01-24 11:51:57,2019-01-24 10:43:58,20,5,6,6,0.7236421725239617,0.9768988716615944,0.05711561613355137,0.9542044574076327,0.14911934152529663,"[224, 224]",128,256,512,4641,2037255,,512.0,/mnt/seals/models/4641/,max,vgg16,10.0,LSTM,2.0,True
822,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,5,2019-01-25 10:11:43,2019-01-25 10:11:38,4428,2019-01-25 10:11:36,2019-01-25 08:57:47,16,6,1,6,0.7320512820512821,0.9757248123466368,0.06305951582915298,0.9541952438435236,0.14535853982336208,"[224, 224]",128,512,512,5281,6477703,,512.0,/mnt/seals/models/5281/,max,vgg16,20.0,GRU,2.0,True
940,video_lrcnn_frozen,32,3,3090,59519,6318,0.2,2.0,6,2019-01-25 17:50:05,2019-01-25 17:49:58,3461,2019-01-25 17:49:57,2019-01-25 16:52:15,10,4,2,1,0.7553398058252427,0.9736530825326226,0.06786612665224713,0.9541446394126375,0.1817652029163685,"[224, 224]",256,128,256,5312,1886599,,512.0,/mnt/seals/models/5312/,max,vgg16,50.0,SimpleRNN,2.0,True
235,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,2,2019-01-25 08:10:44,2019-01-25 08:10:42,1574,2019-01-25 08:10:41,2019-01-25 07:44:27,14,4,5,2,0.74176,0.9707362042698681,0.07268386817268453,0.9541104025742226,0.13502227230861774,"[224, 224]",256,128,512,5265,1233287,,512.0,/mnt/seals/models/5265/,max,vgg16,15.0,SimpleRNN,2.0,True
3149,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,25,2019-01-22 22:22:13,2019-01-22 22:21:48,1787,2019-01-22 22:21:30,2019-01-22 21:51:43,9,2,1,3,0.728115015974441,0.9654275389838237,0.08580478100522539,0.9540258302245895,0.1387015892196797,"[224, 224]",512,256,512,4387,2036487,,512.0,/mnt/seals/models/4387/,max,vgg16,10.0,SimpleRNN,2.0,True
585,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,15,2019-01-24 09:04:38,2019-01-24 09:04:22,1739,2019-01-24 09:04:09,2019-01-24 08:35:10,11,1,3,4,0.6840255591054314,0.962750105895823,0.09234051849564708,0.9540258288458013,0.12506150587969328,"[224, 224]",128,256,256,4648,428807,,512.0,/mnt/seals/models/4648/,max,vgg16,10.0,LSTM,1.0,True
1174,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,1.0,10,2019-01-24 00:57:23,2019-01-24 00:57:12,2710,2019-01-24 00:57:03,2019-01-24 00:11:53,14,7,2,2,0.7376996805111822,0.9613096850619304,0.09800736220892531,0.9539811687195215,0.13355962516144315,"[224, 224]",512,512,512,4357,5774343,,512.0,/mnt/seals/models/4357/,max,vgg16,10.0,GRU,2.0,True
2077,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,13,2019-01-24 06:03:50,2019-01-24 06:03:37,2902,2019-01-24 06:03:26,2019-01-24 05:15:03,11,4,1,3,0.739297124600639,0.9749664847348573,0.0630915697376788,0.9539588444603351,0.13886158930142994,"[224, 224]",512,128,256,4425,2757127,,512.0,/mnt/seals/models/4425/,max,vgg16,10.0,LSTM,2.0,True
315,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,4,2019-01-25 02:55:36,2019-01-25 02:55:32,3969,2019-01-25 02:55:30,2019-01-25 01:49:20,26,7,12,4,0.6718849840255592,0.9785356065761522,0.05450179134345756,0.9539141876878646,0.15404902196891906,"[224, 224]",256,128,128,5077,2082951,,2048.0,/mnt/seals/models/5077/,max,resnet50,10.0,GRU,2.0,True
2686,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,4,2019-01-25 11:36:49,2019-01-25 11:36:45,3405,2019-01-25 11:36:43,2019-01-25 10:39:58,16,4,3,6,0.73952,0.9765439443263664,0.059631161018643755,0.9538644054716799,0.1539706540391381,"[224, 224]",256,128,512,5269,1725575,,512.0,/mnt/seals/models/5269/,max,vgg16,15.0,GRU,2.0,True
2542,video_lrcnn_frozen,32,3,3040,58419,6218,0.2,2.0,12,2019-01-25 21:17:08,2019-01-25 21:16:55,9827,2019-01-25 21:16:54,2019-01-25 18:33:07,18,1,9,5,0.7786184210526316,0.9776369348306369,0.05636056895536644,0.9537977456049583,0.1542217688779977,"[224, 224]",256,128,256,5318,3524999,,512.0,/mnt/seals/models/5318/,max,vgg16,100.0,SimpleRNN,2.0,True
1492,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,16,2019-01-24 09:47:34,2019-01-24 09:47:17,2779,2019-01-24 09:47:03,2019-01-24 09:00:44,11,3,4,1,0.7313099041533546,0.9764210963048284,0.05932380666845871,0.9537802180598475,0.13638294337037282,"[224, 224]",256,128,0,4569,985479,,512.0,/mnt/seals/models/4569/,max,vgg16,10.0,LSTM,2.0,True
2374,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,3.0,2,2019-01-25 12:43:18,2019-01-25 12:43:15,1581,2019-01-25 12:43:14,2019-01-25 12:16:53,10,3,1,3,0.7381410256410257,0.9707586758455161,0.0733703261580517,0.953769670941307,0.14738786329891138,"[224, 224]",256,128,512,5285,1560967,,512.0,/mnt/seals/models/5285/,max,vgg16,20.0,SimpleRNN,2.0,True
63,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,31,2019-01-23 02:15:56,2019-01-23 02:15:25,1850,2019-01-23 02:15:06,2019-01-23 01:44:15,10,2,4,1,0.7405750798722045,0.9660637837754675,0.0834858227805455,0.953713233320368,0.1418700307961664,"[224, 224]",256,256,256,4523,985607,,512.0,/mnt/seals/models/4523/,max,vgg16,10.0,SimpleRNN,2.0,True
375,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,21,2019-01-22 18:20:44,2019-01-22 18:20:22,1934,2019-01-22 18:20:05,2019-01-22 17:47:51,13,4,2,4,0.7345047923322684,0.9635732043478082,0.09036103327229243,0.9536908982730947,0.14096460421780715,"[224, 224]",512,256,256,4395,1379079,,512.0,/mnt/seals/models/4395/,max,vgg16,10.0,SimpleRNN,2.0,True
2606,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,6,2019-01-25 04:59:03,2019-01-25 04:58:57,2149,2019-01-25 04:58:52,2019-01-25 04:23:03,11,3,1,4,0.6718849840255592,0.9712672748558411,0.07263469446341486,0.9536685751132125,0.12997595433445042,"[224, 224]",128,256,256,5165,1789063,,2048.0,/mnt/seals/models/5165/,max,resnet50,10.0,GRU,2.0,True
2031,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,5,2019-01-25 13:15:06,2019-01-25 13:15:01,3487,2019-01-25 13:15:00,2019-01-25 12:16:52,9,4,1,1,0.7746794871794872,0.9807479232180722,0.04898457508480027,0.9536352850270144,0.1559453103031324,"[224, 224]",128,256,512,5293,3347975,,512.0,/mnt/seals/models/5293/,max,vgg16,20.0,LSTM,2.0,True
2011,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,26,2019-01-23 00:17:26,2019-01-23 00:16:59,2195,2019-01-23 00:16:41,2019-01-22 23:40:05,16,9,2,2,0.7357827476038339,0.9647558152208849,0.08675331469184792,0.953623916570676,0.13435530269861445,"[224, 224]",128,128,256,4683,444679,,512.0,/mnt/seals/models/4683/,max,vgg16,10.0,SimpleRNN,2.0,True
2287,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,3,2019-01-25 08:25:58,2019-01-25 08:25:54,2178,2019-01-25 08:25:52,2019-01-25 07:49:33,8,3,1,1,0.7616,0.9722266435824853,0.06915238742727361,0.953596044907961,0.14943186408311185,"[224, 224]",512,128,512,5268,2807687,,512.0,/mnt/seals/models/5268/,max,vgg16,15.0,GRU,2.0,True
2966,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,11,2019-01-24 02:48:46,2019-01-24 02:48:34,4248,2019-01-24 02:48:24,2019-01-24 01:37:35,21,10,5,3,0.7380191693290734,0.9812603438440743,0.04643081676014295,0.9535122768101598,0.14549113826831456,"[224, 224]",512,512,256,4361,5511175,,512.0,/mnt/seals/models/4361/,max,vgg16,10.0,LSTM,2.0,True
2818,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,2.0,2,2019-01-25 08:33:14,2019-01-25 08:33:11,1524,2019-01-25 08:33:09,2019-01-25 08:07:45,12,1,4,4,0.76256,0.9650919623709419,0.08833550288184204,0.953484226706331,0.1574489467298529,"[224, 224]",256,512,256,5264,2558727,,512.0,/mnt/seals/models/5264/,max,vgg16,15.0,SimpleRNN,2.0,True
18,video_lrcnn_frozen,32,3,3065,58969,6268,0.2,2.0,9,2019-01-25 19:05:05,2019-01-25 19:04:55,5301,2019-01-25 19:04:54,2019-01-25 17:36:33,11,2,3,3,0.7797716150081566,0.9747615677557687,0.06437780626997434,0.9534597673763039,0.15543268381332087,"[224, 224]",256,128,256,5315,2705799,,512.0,/mnt/seals/models/5315/,max,vgg16,75.0,SimpleRNN,2.0,True
3174,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,1.0,17,2019-01-24 09:24:27,2019-01-24 09:24:10,3587,2019-01-24 09:23:57,2019-01-24 08:24:09,16,6,3,4,0.7242811501597444,0.9689067828915573,0.07763552383089459,0.953445289667117,0.13534235228091787,"[224, 224]",256,128,256,4553,1314311,,512.0,/mnt/seals/models/4553/,max,vgg16,10.0,LSTM,2.0,True
3142,video_lrcnn_frozen,32,3,3125,60289,6388,0.2,3.0,4,2019-01-25 08:57:34,2019-01-25 08:57:30,2792,2019-01-25 08:57:28,2019-01-25 08:10:56,9,2,3,1,0.76736,0.9791883496689736,0.05283853009558997,0.9534171357629593,0.15099769278179268,"[224, 224]",128,256,512,5273,2692615,,512.0,/mnt/seals/models/5273/,max,vgg16,15.0,LSTM,2.0,True
2358,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,32,2019-01-23 04:50:37,2019-01-23 04:50:04,2062,2019-01-23 04:49:45,2019-01-23 04:15:22,12,3,3,3,0.7242811501597444,0.964736894596357,0.085615838316263,0.9533783029526165,0.12767789636078608,"[224, 224]",128,256,512,4643,1495431,,512.0,/mnt/seals/models/4643/,max,vgg16,10.0,SimpleRNN,2.0,True
1899,video_lrcnn_frozen,32,3,3120,60179,6378,0.2,2.0,5,2019-01-25 10:56:41,2019-01-25 10:56:35,4548,2019-01-25 10:56:33,2019-01-25 09:40:45,16,7,1,5,0.721474358974359,0.9764274788290298,0.060371480415724994,0.9533217034582137,0.15994179144375523,"[224, 224]",128,256,512,5286,3167367,,512.0,/mnt/seals/models/5286/,max,vgg16,20.0,GRU,2.0,True
1957,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,15,2019-01-24 07:22:52,2019-01-24 07:22:36,2172,2019-01-24 07:22:23,2019-01-24 06:46:10,9,1,3,2,0.7437699680511183,0.9712057796013521,0.07071836501215366,0.9533113192938089,0.13792626763757745,"[224, 224]",128,512,256,4621,2543495,,512.0,/mnt/seals/models/4621/,max,vgg16,10.0,GRU,2.0,True
